time,open,high,low,close,volume
2025-03-01 00:00:00,3003.57,3003.62,3000.59,3003.28,2257
2025-03-01 01:00:00,3002.89,3003.05,3000.81,3002.75,4634
2025-03-01 02:00:00,3006.66,3009.36,3004.54,3006.94,2841
2025-03-01 03:00:00,3017.39,3018.05,3015.11,3016.42,3309
2025-03-01 04:00:00,3015.52,3016.05,3013.22,3015.31,2850
2025-03-01 05:00:00,3013.67,3014.99,3013.13,3014.2,3172
2025-03-01 06:00:00,3023.24,3024.09,3021.66,3024.04,1910
2025-03-01 07:00:00,3028.29,3031.54,3027.55,3028.98,1244
2025-03-01 08:00:00,3025.94,3026.83,3024.45,3026.44,1541
2025-03-01 09:00:00,3029.35,3030.13,3028.52,3030.03,3532
2025-03-01 10:00:00,3026.9,3030.25,3024.69,3027.53,3169
2025-03-01 11:00:00,3024.58,3026.5,3022.01,3025.01,3172
2025-03-01 12:00:00,3026.13,3028.07,3026.13,3026.78,2572
2025-03-01 13:00:00,3016.31,3019.85,3015.02,3015.52,3217
2025-03-01 14:00:00,3004.6,3006.05,3002.78,3005.44,1123
2025-03-01 15:00:00,3002.41,3002.8,3001.25,3002.36,4940
2025-03-01 16:00:00,2996.4,2997.08,2995.67,2996.58,4106
2025-03-01 17:00:00,2999.73,3001.92,2994.44,2998.77,4158
2025-03-01 18:00:00,2992.85,2993.82,2992.34,2993.62,3693
2025-03-01 19:00:00,2985.28,2986.04,2983.62,2985.48,2731
2025-03-01 20:00:00,2995.48,2995.76,2994.43,2994.54,1785
2025-03-01 21:00:00,2994.22,2993.86,2992.95,2993.49,3043
2025-03-01 22:00:00,2994.83,2995.09,2991.14,2994.19,3248
2025-03-01 23:00:00,2985.49,2986.36,2984.96,2985.97,3416
2025-03-02 00:00:00,2982.36,2985.17,2981.95,2983.02,1796
2025-03-02 01:00:00,2984.32,2986.04,2981.84,2983.98,1076
2025-03-02 02:00:00,2978.28,2977.68,2976.69,2977.42,1058
2025-03-02 03:00:00,2980.07,2981.36,2978.28,2979.95,3478
2025-03-02 04:00:00,2976.82,2979.06,2974.59,2976.67,3685
2025-03-02 05:00:00,2974.8,2978.28,2971.3,2975.24,2523
2025-03-02 06:00:00,2972.49,2973.07,2967.84,2971.96,2936
2025-03-02 07:00:00,2982.66,2984.04,2981.08,2983.28,3156
2025-03-02 08:00:00,2983.15,2986.63,2983.06,2983.5,4807
2025-03-02 09:00:00,2977.35,2977.63,2976.94,2977.49,4055
2025-03-02 10:00:00,2982.71,2983.81,2982.08,2982.7,2301
2025-03-02 11:00:00,2975.2,2979.48,2974.09,2975.72,1067
2025-03-02 12:00:00,2976.49,2980.16,2975.54,2977.26,4140
2025-03-02 13:00:00,2966.13,2970.31,2964.74,2965.91,4236
2025-03-02 14:00:00,2957.92,2959.22,2958.0,2958.34,4560
2025-03-02 15:00:00,2959.96,2960.8,2959.23,2959.8,3352
2025-03-02 16:00:00,2963.78,2966.51,2963.97,2964.47,2932
2025-03-02 17:00:00,2965.75,2967.2,2962.57,2965.78,3721
2025-03-02 18:00:00,2965.46,2965.88,2964.41,2965.39,1364
2025-03-02 19:00:00,2963.01,2965.03,2962.43,2963.9,4925
2025-03-02 20:00:00,2955.12,2958.01,2954.12,2955.45,1820
2025-03-02 21:00:00,2950.76,2953.24,2949.14,2951.49,2402
2025-03-02 22:00:00,2948.2,2950.37,2948.71,2949.07,3390
2025-03-02 23:00:00,2956.59,2955.8,2953.01,2955.61,1946
2025-03-03 00:00:00,2957.58,2961.63,2957.13,2957.93,3946
2025-03-03 01:00:00,2948.44,2949.96,2946.51,2947.82,2577
2025-03-03 02:00:00,2949.53,2953.07,2948.97,2950.02,2377
2025-03-03 03:00:00,2948.41,2949.43,2946.87,2948.05,2439
2025-03-03 04:00:00,2944.87,2944.44,2941.88,2944.35,4180
2025-03-03 05:00:00,2948.44,2948.74,2948.21,2948.25,4634
2025-03-03 06:00:00,2954.58,2955.12,2954.02,2954.63,1761
2025-03-03 07:00:00,2960.26,2961.14,2957.03,2960.44,4568
2025-03-03 08:00:00,2955.47,2958.27,2955.29,2955.77,1340
2025-03-03 09:00:00,2955.1,2957.12,2949.03,2954.24,3989
2025-03-03 10:00:00,2957.15,2956.65,2955.36,2956.49,1382
2025-03-03 11:00:00,2963.49,2964.79,2959.04,2962.56,2003
2025-03-03 12:00:00,2959.27,2960.7,2958.51,2960.02,2556
2025-03-03 13:00:00,2959.68,2960.13,2958.45,2959.22,1299
2025-03-03 14:00:00,2953.85,2954.11,2950.39,2952.97,1138
2025-03-03 15:00:00,2945.57,2947.1,2944.86,2946.21,1358
2025-03-03 16:00:00,2950.43,2952.58,2951.02,2951.29,1835
2025-03-03 17:00:00,2960.09,2962.27,2957.16,2959.61,2522
2025-03-03 18:00:00,2959.63,2959.87,2959.06,2959.48,4456
2025-03-03 19:00:00,2966.4,2967.14,2964.02,2965.72,2627
2025-03-03 20:00:00,2967.44,2968.34,2967.0,2968.16,2982
2025-03-03 21:00:00,2965.22,2967.51,2963.45,2964.63,2303
2025-03-03 22:00:00,2966.47,2968.42,2963.73,2967.07,4708
2025-03-03 23:00:00,2975.84,2980.11,2975.72,2976.51,3530
2025-03-04 00:00:00,2975.92,2976.67,2974.2,2976.59,1908
2025-03-04 01:00:00,2986.85,2989.08,2985.33,2986.22,2134
2025-03-04 02:00:00,2971.24,2971.17,2968.52,2970.91,3913
2025-03-04 03:00:00,2976.15,2977.46,2974.88,2976.1,3186
